champion,winrate(%)
Amumu,51.24
Nocturne,52.45
Brand,50.06
Yorick,52.29
Sett,52.29
Zyra,52.26
Lillia,52.17
Xerath,52.07
Ashe,46.98
Warwick,51.54
Lux,50.55
Veigar,47.56
Nami,51.63
MasterYi,51.50
Leona,51.47
Garen,55.63
Jinx,51.44
Tryndamere,53.49
Jhin,51.19
Mordekaiser,51.32
Blitzcrank,51.00
Sylas,47.14
Nasus,49.84
Caitlyn,50.82
Viego,50.37
Taric,52.95
Poppy,48.50
Galio,51.40
Akshan,50.59
Shaco,49.84
Sona,51.92
Rammus,46.71
Viktor,51.85
Kayle,50.83
Shyvana,51.72
Volibear,50.92
Vex,51.56
DrMundo,51.49
Braum,51.43
Illaoi,51.38
Briar,51.36
Velkoz,52.01
Malzahar,50.89
Soraka,51.23
TwistedFate,51.40
AurelionSol,51.02
XinZhao,50.98
Milio,50.95
JarvanIV,50.94
Janna,50.93
Fizz,50.90
Malphite,47.60
Teemo,49.94
Diana,51.17
MissFortune,44.09
Seraphine,53.07
Morgana,51.77
Lulu,50.11
Khazix,50.09
Akali,47.51
Kaisa,49.92
Thresh,49.92
Pyke,49.84
Ahri,49.75
Nautilus,49.62
Darius,49.49
Kayn,49.49
Aatrox,49.34
Heimerdinger,51.59
KogMaw,51.87
TahmKench,51.24
Cassiopeia,51.57
Urgot,51.72
Anivia,51.66
RekSai,51.18
Leblanc,48.59
FiddleSticks,51.08
Zac,52.28
Sivir,50.99
Zilean,50.69
Udyr,48.65
Taliyah,50.17
Ekko,50.07
Rell,50.56
Jax,49.63
Ornn,50.27
Syndra,50.26
Maokai,50.26
Twitch,50.26
Fiora,50.25
Irelia,48.68
Rakan,50.02
Alistar,49.97
Camille,48.95
Renekton,49.89
Renata,49.89
Belveth,49.83
Vayne,49.18
Sejuani,49.77
Zeri,49.74
Skarner,50.08
Vi,49.46
Karthus,49.43
Bard,49.43
Tristana,49.40
Kindred,49.37
Swain,51.68
Smolder,46.36
Lucian,49.29
Neeko,49.82
Pantheon,48.28
Hecarim,48.84
Samira,48.83
Hwei,46.47
Nidalee,48.80
Senna,44.63
Katarina,48.70
Graves,48.63
Corki,45.59
Yasuo,46.29
Varus,48.59
Zed,47.66
Karma,47.97
LeeSin,47.36
Quinn,50.38
Rumble,48.58
Kennen,50.60
Ziggs,49.43
Kled,51.49
Annie,50.90
Gragas,48.42
Shen,50.17
Ivern,50.65
Trundle,49.40
Singed,50.43
Nilah,50.29
Naafiri,50.29
Chogath,49.77
MonkeyKing,50.60
Kassadin,49.73
Elise,49.68
Sion,49.63
Ryze,49.69
Gwen,49.36
Gnar,49.26
Riven,49.11
Nunu,49.07
Lissandra,48.90
Zoe,48.76
Xayah,48.75
Evelynn,48.56
Vladimir,47.80
Orianna,48.15
Draven,47.73
Kalista,47.66
Yone,45.34
Aphelios,46.91
Yuumi,46.84
Ezreal,46.06
Talon,48.00
Olaf,49.04
Jayce,47.22
Qiyana,47.43
Gangplank,47.42
Azir,45.86
Rengar,45.47
KSante,44.90
